Game,Year,"City, County",Continent
I,1924,"Chamonix, France",Europe
II,1928,"St. Moritz, Switzerland",Europe
III,1932,"Lake Placid, United States",North America
IV,1936,"Garmisch-Partenkirchen, Germany",Europe
V,1948,"St. Moritz, Switzerland",Europe
VI,1952,"Oslo, Norway",Europe
VII,1956,"Cortina d'Ampezzo, Italy",Europe
VIII,1960,"Squaw Valley, United States",North America
IX,1964,"Innsbruck, Austria",Europe
X,1968,"Grenoble, France",Europe
XI,1972,"Sapporo, Japan",Asia
XII,1976,"Innsbruck, Austria",Europe
XIII,1980,"Lake Placid, United States",North America
XIV,1984,"Sarajevo, Yugoslavia",Europe
XV,1988,"Calgary, Canada",North America
XVI,1992,"Albertville, France",Europe
XVII,1994,"Lillehammer, Norway",Europe
XVIII,1998,"Nagano, Japan",Asia
XIX,2002,"Salt Lake City, United States",North America
XX,2006,"Turin, Italy",Europe
XXI,2010,"Vancouver, Canada",North America
XXII,2014,"Sochi, Russia",Europe
XXIII,2018,"Pyeongchang, South Korea",Asia
